id;sequence
155602;1,6,24,90,336,1266,4824,18570,72096,281826,1107624,4371450,17308656,68703186,273218424,1088090730,4338014016,17309009346,69106897224,276040168410,1102998412176,4408506864306,17623567104024,70462887356490
161937;1,2,15,116,1165,13974,195643,3130280,56345049,1126900970,24791821351,595003712412,15470096522725,433162702636286,12994881079088595,415836194530835024,14138430614048390833,508983502105742069970,19341373080018198658879,773654923200727946355140
092440;1,5,25,113,481,1985,8065,32513,130561,523265,2095105,8384513,33546241,134201345,536838145,2147418113,8589803521,34359476225,137438429185,549754765313,2199021158401,8796088827905,35184363700225
095340;1,4,24,256,5120,196608,14680064,2147483648,618475290624,351843720888320,396316767208603648,885443715538058477568,3929008913747544817795072,34662321099990647697175478272,608472288109550112718417538580480,21267647932558653966460912964485513216
202991;1,1,49,15625,38950081,812990017201,147640825624179889,237771659632917369765625,3425319186561140076700951192321,443021141828981570872668681812345111521,515202988063835984513918825523304657054713360049
000312;1,1,4,27,256,3125,46656,823543,16777216,387420489,10000000000,285311670611,8916100448256,302875106592253,11112006825558016,437893890380859375,18446744073709551616,827240261886336764177,39346408075296537575424,1978419655660313589123979
048291;1,1,7,265,41503,24997921,57366997447,505874809287625,17343602252913832063,2334958727565749108488321,1243237913592275536716800402887,2630119877024657776969635243647463625,22170632855360952977731028744522744983195423
086206;0,1,27,2401,759375,887503681,3938980639167,67675234241018881,4558916353692287109375,1213972926354344043087129601,1284197945649659948122178573052927,5412701932445852698371002894178179850241,91054366938067173656011584805755385081787109375
109966;1,1,8,512,262144,1073741824,35184372088832,9223372036854775808,19342813113834066795298816,324518553658426726783156020576256,43556142965880123323311949751266331066368,46768052394588893382517914646921056628989841375232,401734511064747568885490523085290650630550748445698208825344
086325;0,2,6,36,220,1590,12978,118664,1201464,13349610,161530270,2114578092,29780308116,448995414686,7215997736010,123153028027920,2224451568754288,42395429898611154,850263899633257014,17900292623858042420,394701452356069835340,9096928711444657157382,218739785834282892557026
000244;1,3,9,27,81,243,729,2187,6561,19683,59049,177147,531441,1594323,4782969,14348907,43046721,129140163,387420489,1162261467,3486784401,10460353203,31381059609,94143178827,282429536481,847288609443,2541865828329,7625597484987
093069;7,23,79,287,1087,4223,16639,66047,263167,1050623,4198399,16785407,67125247,268468223,1073807359,4295098367,17180131327,68720001023,274878955519,1099513724927,4398050705407,17592194433023,70368760954879,281475010265087,1125899973951487
085527;1,3,25,343,6561,161051,4826809,170859375,6975757441,322687697779,16679880978201,952809757913927,59604644775390625,4052555153018976267,297558232675799463481,23465261991844685929951,1977985201462558877934081,177482997121587371826171875
000522;1,2,5,16,65,326,1957,13700,109601,986410,9864101,108505112,1302061345,16926797486,236975164805,3554627472076,56874039553217,966858672404690,17403456103284421,330665665962404000,6613313319248080001,138879579704209680022,3055350753492612960485,70273067330330098091156
165327;1,2,9,125,6561,1419857,1291467969,4902227890625,76686282021340161,4891005035897482905857,1262332172765951010966606849,1312086657801266767978668212890625
000266;1,1,1,3,15,75,435,3045,24465,220185,2200905,24209955,290529855,3776888115,52876298475,793144477125,12690313661025,215735332237425,3883235945814225,73781482970470275,1475629660064134575,30988222861346826075,681740902935880863075
006125;1,1,2,8,64,1024,32768,2097152,268435456,68719476736,35184372088832,36028797018963968,73786976294838206464,302231454903657293676544,2475880078570760549798248448,40564819207303340847894502572032,1329227995784915872903807060280344576
135756;1,2,7,80,4381,1069742,1080096067,4405584869660,72092808533798521,4723015159635987920282,1237987266193328694390243007,1298087832233881093828346620725800
000240;1,0,3,8,45,264,1855,14832,133497,1334960,14684571,176214840,2290792933,32071101048,481066515735,7697064251744,130850092279665,2355301661033952,44750731559645107,895014631192902120,18795307255050944541,413496759611120779880
267816;1,3,23,111,479,1983,8063,32511,130559,523263,2095103,8384511,33546239,134201343,536838143,2147418111,8589803519,34359476223,137438429183,549754765311,2199021158399,8796088827903,35184363700223,140737471578111,562949919866879
217994;2,4,16,128,2048,65536,4194304,536870912,137438953472,70368744177664,72057594037927936,147573952589676412928,604462909807314587353088
001024;1,15,225,3375,50625,759375,11390625,170859375,2562890625,38443359375,576650390625,8649755859375,129746337890625,1946195068359375,29192926025390625,437893890380859375,6568408355712890625,98526125335693359375,1477891880035400390625,22168378200531005859375,332525673007965087890625
055869;1,5,37,369,4651,70993,1273609,26269505,612579511,15937424601,457696700077,14381984674225,490839666661891,18080919199832609,715027614225987601,30214447801957316865,1358671297852359767791,64780942222614703957417,3264460344339686410876021
045531;1,3,19,175,2101,31031,543607,11012415,253202761,6513215599,185311670611,5777672071535,195881901213181,7174630439858727,282325794823047151,11878335717996660991,532092356706983938321,25283323623228812584415,1270184310304975912766347
006896;1,2,5,18,113,1450,40069,2350602,286192513,71213783666,35883905263781,36419649682706466,74221659280476136241,303193505953871645562970,2480118046704094643352358501,40601989176407026666590990422106,1329877330167226219547875498464516481
000166;1,0,1,2,9,44,265,1854,14833,133496,1334961,14684570,176214841,2290792932,32071101049,481066515734,7697064251745,130850092279664,2355301661033953,44750731559645106,895014631192902121,18795307255050944540,413496759611120779881,9510425471055777937262
127986;1,2,5,13,39,151,783,5167,40575,363391,3629823,39918847,479005695,6227028991,87178307583,1307674400767,20922789953535,355687428227071,6402373705990143,121645100409356287,2432902008177688575,51090942171711537151,1124000727777611874303
000079;1,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,4194304,8388608,16777216,33554432,67108864,134217728,268435456,536870912,1073741824,2147483648,4294967296,8589934592
202990;1,4,100,10648,4477456,7339040224,47045881000000,1186980379913527168,118530511097526559703296,47035767668340696232372862464,74367598058372171073462490000000000,469253945833810205185008441288962454059008
055897;1,2,12,108,1280,18750,326592,6588344,150994944,3874204890,110000000000,3423740047332,115909305827328,4240251492291542,166680102383370240,7006302246093750000,313594649253062377472,14890324713954061755186,747581753430634213933056
085350;1,5,23,101,431,1805,7463,30581,124511,504605,2038103,8211461,33022991,132623405,532087943,2133134741,8546887871,34230598205,137051532983,548593552421,2195536471151,8785632669005,35152991029223
135160;1,6,30,144,690,3336,16290,80184,396930,1972296,9823650,49003224,244667970,1222289256,6108282210,30531894264,152630871810,763068462216,3815084423970,19074648065304,95370917376450,476847616459176,2384217167880930,11921023089868344,59604927188149890,298024071132008136
128831;1,27,343,3375,29791,250047,2048383,16581375,133432831,1070599167,8577357823,68669157375,549554511871,4397241253887,35181150961663,281462092005375,2251748274470911,18014192351838207,144114363443707903
033484;1,4,10,22,46,94,190,382,766,1534,3070,6142,12286,24574,49150,98302,196606,393214,786430,1572862,3145726,6291454,12582910,25165822,50331646,100663294,201326590,402653182,805306366,1610612734,3221225470
085352;1,7,47,307,1967,12427,77687,481747,2968607,18202267,111166727,676765987,4109424047,24900684907,150624812567,909852391027,5489631924287,33090379436347,199305216071207,1199645993692867
083319;1,5,21,83,321,1235,4761,18443,71841,281315,1106601,4369403,17304561,68694995,273202041,1088057963,4337948481,17308878275,69106635081,276039644123,1102997363601,4408504767155,17623562909721,70462878967883
230879;1,2,56,16064,39156608,813732073472,147662286695991296,237776857718965784182784,3425329990022686416530808209408,443021337239562368918979788606843912192,515203019085226443540506018909263027730003787776
048473;1,5,17,53,161,485,1457,4373,13121,39365,118097,354293,1062881,3188645,9565937,28697813,86093441,258280325,774840977,2324522933,6973568801,20920706405,62762119217,188286357653,564859072961
109493;1,1,7,343,117649,282475249,4747561509943,558545864083284007,459986536544739960976801,2651730845859653471779023381601,107006904423598033356356300384937784807
135755;1,2,6,40,860,63000,14714728,10562062112,22960880409360,150300904214651680,2955814683617734854752,174481716707875308905153664,30905247968182392588500030233024
001907;1,3,25,299,4785,95699,2296777,64309755,2057912161,74084837795,2963393511801,130389314519243,6258687096923665,325451729040030579,18225296826241712425,1093517809574502745499,69985139812768175711937,4758989507268235948411715
000142;1,1,2,6,24,120,720,5040,40320,362880,3628800,39916800,479001600,6227020800,87178291200,1307674368000,20922789888000,355687428096000,6402373705728000,121645100408832000,2432902008176640000,51090942171709440000,1124000727777607680000
287065;1,11,421,59747,32260381,67680006971,559876911043381,18412604442711949187,2416403019417984915336061,1267413006543912045144741284411,2658304092145691708492995820522716981,22300364428188338185156192161829091442585827
337418;32,290,2240,16322,116192,819170,5751680,40314242,282357152,1976972450,13840224320,96885821762,678213506912,4747532812130,33232844476160,232630255706882,1628412823069472,11398892860850210,79792259324043200,558545843162577602
020540;4,56,496,4064,32704,262016,2096896,16776704,134216704,1073739776,8589930496,68719468544,549755797504,4398046478336,35184372023296,281474976579584,2251799813423104,18014398508957696,144115188074807296
132727;1,3,18,216,5184,248832,23887872,4586471424,1761205026816,1352605460594688,2077601987473440768,6382393305518410039296,39213424469105111281434624,481854559876363607426268659712
155588;1,6,28,132,640,3156,15688,78252,390880,1953636,9766648,48830172,244144720,1220711316,6103532008,30517610892,152587956160,762939584196,3814697527768,19073486852412,95367432689200,476837160300276
001804;2,18,144,1200,10800,105840,1128960,13063680,163296000,2195424000,31614105600,485707622400,7933224499200,137305808640000,2510734786560000,48373490221056000,979563176976384000,20801312169910272000,462251381553561600000
135748;1,3,21,567,67689,33887403,68921796861,563431696713567,18451249599365935569,2418017680197896730749523,1267674779574792745831097365221,2658469935859419140387217204140789127,22300777100086187451068223319189800258419769
155629;1,5,49,449,3841,31745,258049,2080769,16711681,133955585,1072693249,8585740289,68702699521,549688705025,4397778075649,35183298347009,281470681743361,2251782633816065,18014329790005249,144114913197948929
180602;1,3,49,3375,923521,992436543,4195872914689,70110209207109375,4649081944211090042881,1227102111503512992112190463,1291749870339606615892191271170049,5429914198235566686555216227881787109375
000085;1,1,2,4,10,26,76,232,764,2620,9496,35696,140152,568504,2390480,10349536,46206736,211799312,997313824,4809701440,23758664096,119952692896,618884638912,3257843882624,17492190577600,95680443760576,532985208200576,3020676745975552
068156;1,3,9,21,45,93,189,381,765,1533,3069,6141,12285,24573,49149,98301,196605,393213,786429,1572861,3145725,6291453,12582909,25165821,50331645,100663293,201326589,402653181,805306365,1610612733
059153;4,24,112,480,1984,8064,32512,130560,523264,2095104,8384512,33546240,134201344,536838144,2147418112,8589803520,34359476224,137438429184,549754765312,2199021158400,8796088827904,35184363700224,140737471578112,562949919866880
110567;1,2,9,82,1025,15626,279937,5764802,134217729,3486784402,100000000001,3138428376722,106993205379073,3937376385699290,155568095557812225,6568408355712890626,295147905179352825857,14063084452067724991010
083320;1,6,32,162,800,3906,18992,92322,449600,2195586,10755152,52845282,260386400,1286217666,6367168112,31576971042,156839811200,779990182146,3883029321872,19347201973602,96463456484000,481224744361026
085528;1,9,125,2401,59049,1771561,62748517,2562890625,118587876497,6131066257801,350277500542221,21914624432020321,1490116119384765625,109418989131512359209,8629188747598184440949,727423121747185263828481,65273511648264442971824673
241098;1,3,225,250047,4228250625,1120413075641343,4715453174592516890625,316777275155162685106909462527,340240830764391036687105719527812890625,5845805845679338940092384222659294205213252255743,1606922719369349023077959288770050490334792256259918212890625
133798;0,0,3,14,75,454,3185,25486,229383,2293838,25232229,302786758,3936227867,55107190150,826607852265,13225725636254,224837335816335,4047072044694046,76894368849186893,1537887376983737878
136516;1,3,25,729,83521,39135393,75418890625,594467302491009,19031147999601100801,2460686496619787545743873,1280084544196357822418212890625,2672769719437237714909813214827010049,22366167213460480200139104627873703828439041
099393;1,5,19,71,271,1055,4159,16511,65791,262655,1049599,4196351,16781311,67117055,268451839,1073774591,4295032831,17180000255,68719738879,274878431231,1099512676351,4398048608255,17592190238719
072034;1,1,6,54,680,11000,217392,5076400,136761984,4175432064,142469423360,5372711277824,221903307604992,9961821300640768,482982946946734080,25150966159083264000,1400031335107317628928,82960293298087664648192
010845;1,4,25,226,2713,40696,732529,15383110,369194641,9968255308,299047659241,9868572754954,355268619178345,13855476147955456,581929998214129153,26186849919635811886,1256968796142518970529
283624;1,0,2,102,22874,17633670,46959933962,451575174961302,16271255119687320314,2253375946574190518740230,1219041140314101911449662059402,2601922592659455476330065914740044182,22040870572750372076278589658097827953983034
226773;1,2,6,28,216,3008,82944,4774912,575299584,142633336832,71796623671296,72847596766363648,148448195686743146496,606392780411924463484928,4960249711027691772375465984,81204042297885177526853243502592
317637;0,8,30,72,140,240,378,560,792,1080,1430,1848,2340,2912,3570,4320,5168,6120,7182,8360,9660,11088,12650,14352,16200,18200,20358,22680,25172,27840,30690,33728,36960,40392,44030,47880,51948,56240,60762,65520,70520,75768,81270,87032
002416;1,2,16,512,65536,33554432,68719476736,562949953421312,18446744073709551616,2417851639229258349412352,1267650600228229401496703205376,2658455991569831745807614120560689152,22300745198530623141535718272648361505980416,748288838313422294120286634350736906063837462003712
079491;1,2,7,45,545,12625,564929,49162689,8361575425,2789624383745,1830776926245889,2368773751202917377,6053217182280501452801,30595465072175429929979905,306239118989330960523869667329,6076268165073202122463201684865025
011379;0,2,12,36,80,150,252,392,576,810,1100,1452,1872,2366,2940,3600,4352,5202,6156,7220,8400,9702,11132,12696,14400,16250,18252,20412,22736,25230,27900,30752,33792,37026,40460,44100,47952,52022,56316,60840
081955;1,2,24,1728,746496,1934917632,30091839012864,2807929681968365568,1572081206902992767287296,5280985496827154199640037916672,106440332834866049138191223105387495424,12872079797383178927229037635891253693013557248
000400;1,6,36,216,1296,7776,46656,279936,1679616,10077696,60466176,362797056,2176782336,13060694016,78364164096,470184984576,2821109907456,16926659444736,101559956668416,609359740010496,3656158440062976,21936950640377856,131621703842267136
060757;1,4,256,262144,4294967296,1125899906842624,4722366482869645213696,316912650057057350374175801344,340282366920938463463374607431768211456,5846006549323611672814739330865132078623730171904,1606938044258990275541962092341162602522202993782792835301376
196460;1,5,47,1193,113855,46857665,83540629607,629692415941433,19653639560140008575,2505063418700072099312705,1292764583816731772891346438887,2687238342732260436646020885678131993,22431974111110989403331425804893720873764255
290840;1,2,12,117,1584,27525,585108,14726411,428551616,14161828185,523952280900,21456869976135,963553844335536,47078974421716757,2486272976536821332,141118622400977894475,8566597074999702384384,553816179165426157329201,37985975117322654130568964
281997;0,4,216,20736,3200000,729000000,230539333248,96717311574016,51998697814228992,34867844010000000000,28531167061100000000000,27982542656501458535448576,32405578483833249047003529216,43752153272681450786889799450624
001189;0,1,3,9,25,75,231,763,2619,9495,35695,140151,568503,2390479,10349535,46206735,211799311,997313823,4809701439,23758664095,119952692895,618884638911,3257843882623,17492190577599,95680443760575,532985208200575,3020676745975551
101052;1,1,3,13,51,181,603,1933,6051,18661,57003,173053,523251,1577941,4750203,14283373,42915651,128878021,386896203,1161212893,3484687251,10456158901,31372671003,94126401613,282395982051,847221500581
085532;0,4,64,1296,32768,1000000,35831808,1475789056,68719476736,3570467226624,204800000000000,12855002631049216,876488338465357824,64509974703297150976,5097655355238390956032,430467210000000000000000,38685626227668133590597632
337527;1,1,11,427,60719,32596531,68021747591,561032498484067,18426501525211985279,2417021848422676355879011,1267517634087900247917422974151,2658372329655374477213702898696297427,22300537841216964110498789350509161482874399
